,Symbol,Target,Industry,Price ($),Price Change,Volume,News Sentiment,Market Cap,Optionable,CIK,S-4 Filing Date,Returns Since S-4,Days Since S-4
74,FIII,"Electric Last Mile, Inc.",EV,$14.10,4.14 %,2571966,53 %,439.37M,,0001784168,,,
75,JWS,Cano Health LLC,Health,$14.00,4.40 %,2562293,36 %,925.29M,,0001800682,,,
76,STPK,Stem Inc.,Energy,$17.90,-12.51 %,2536451,87 %,902.70M,Yes,0001758766,2020-12-17,48.46,23.0
77,FUSE,,Tech,$11.24,-0.53 %,2375019,0 %,395.50M,,0001807846,,,
78,APXT,"AvePoint, Inc.",Tech,$14.84,-1.13 %,2339359,43 %,642.28M,Yes,0001777921,,,
79,GIK,"Lightning Systems, Inc.",EV,$13.11,-0.53 %,2192052,38 %,341.28M,Yes,0001802749,2020-12-31,13.28,9.0
80,IPV,"Aeva, Inc.",Tech,$16.40,12.79 %,2092557,49 %,461.79M,Yes,0001789029,2020-12-03,55.24,37.0
81,CLA,"Ouster, Inc",Tech,$13.00,-3.70 %,2030497,36 %,270.00M,,0001816581,2020-12-22,-3.62,18.0
82,FST,,Consumer,$10.20,-0.39 %,195043,0 %,204.80M,,0001815737,,,
83,DGNS,,Tech,$11.50,0.70 %,188031,0 %,315.19M,,0001827075,,,
84,PMVC,,Seeking,$10.05,-0.99 %,182023,0 %,177.62M,,0001807765,,,
85,CHPM,,Health,$10.29,0.34 %,173221,0 %,386.49M,,0001785041,,,
86,BREZ,,Energy,$10.11,-0.39 %,170733,0 %,148.44M,,0001817640,,,
87,RCHG,,Seeking,$10.16,-0.25 %,166227,0 %,203.80M,,0001817786,,,
88,LCY,,Seeking,$10.37,-1.05 %,164344,0 %,1.23B,,0001822492,,,
89,VYGG,,Tech,$10.57,1.44 %,163422,0 %,599.15M,,0001822877,,,
90,FVAM,,Seeking,$10.35,1.77 %,15511,0 %,87.68M,,0001823465,,,
91,BFT,Paysafe Limited,Tech,$14.45,-4.30 %,15031068,40 %,2.22B,,0001818355,,,
92,MFAC,BankMobile Technologies,Consumer,$14.87,5.91 %,136975,43 %,44.86M,,0001725872,2020-12-09,2.29,31.0
93,HZAC,,Consumer,$10.29,2.69 %,136663,0 %,545.07M,,0001817071,,,
94,LATN,,Seeking,$10.40,0.00 %,135050,0 %,260.21M,,0001766146,,,
95,SV,,Energy,$10.09,-0.30 %,135010,0 %,232.76M,,0001822966,,,
96,GOAC,,Consumer,$10.16,-0.29 %,130724,0 %,585.92M,,0001816176,,,
97,ARYA,,Health,$10.87,0.23 %,129234,28 %,167.62M,,0001808805,,,
98,CLII,,Sustainability,$10.53,-1.68 %,109610,0 %,246.33M,,0001821159,,,
99,LOAC,4D pharma PLC,Health,$11.95,0.26 %,108438,55 %,31.11M,,0001743858,,,
100,TREB,,Seeking,$10.64,-1.39 %,107969,0 %,558.38M,,0001805833,,,
101,ANDA,,Seeking,$10.76,0.89 %,104640,4 %,100.31M,,0001691936,,,
102,CTAC,,Tech,$10.25,0.39 %,102956,0 %,272.97M,,0001824577,,,
103,NGA,Lion Electric,EV,$21.18,19.12 %,10195680,53 %,709.99M,Yes,0001815495,,,
104,ALAC,"SolarMax Technology, Inc",Energy,$13.55,18.76 %,1888959,45 %,168.64M,,0001748621,2020-12-30,18.02,10.0
105,AACQ,,Tech,$10.66,0.28 %,1876269,0 %,-,,0001802457,,,
106,TPGY,EVBox Group,EV,$24.25,-6.26 %,1844753,94 %,905.45M,Yes,0001819399,,,
107,CCX,Skillsoft and Global Knowledge,Consumer,$10.39,0.39 %,1755568,49 %,892.69M,Yes,0001774675,,,
108,PCPL,E2open,Consumer,$10.79,-0.46 %,1747607,55 %,448.78M,,0001800347,2021-01-06,-2.09,3.0
109,INAQ,"MetroMile, Inc.",Consumer,$14.24,-8.42 %,1618418,45 %,366.05M,Yes,0001819035,2020-12-31,5.85,9.0
110,BTAQ,,Seeking,$10.50,0.86 %,1568164,0 %,370.21M,,0001815526,,,
111,OAC,"Hims, Inc.",Consumer,$15.68,7.40 %,1497598,34 %,678.90M,,0001773751,2020-12-22,28.05,18.0
112,VGAC,,Consumer,$11.12,-2.71 %,1462607,0 %,581.27M,Yes,0001804591,,,
113,IPOE,,Tech,$12.20,-1.93 %,1360199,0 %,1.00B,Yes,0001818874,,,
114,GIX,UpHealth / Cloudbreak Health,Health,$10.83,-1.10 %,1359931,32 %,239.80M,Yes,0001770141,,,
115,DMYD,Genius Sports Group,Consumer,$16.59,-5.69 %,1354787,53 %,485.48M,,0001816101,,,
116,QELL,,Tech,$12.49,1.63 %,1330208,0 %,466.41M,Yes,0001821171,,,
117,AMCI,"Advent Technologies, Inc.",Tech,$14.88,-0.33 %,1258786,42 %,299.35M,,0001744494,2020-12-31,6.76,9.0
118,GSAH,,Health,$10.96,0.55 %,1248897,0 %,1.01B,,0001809987,,,
119,FTIV,,Tech,$10.98,-2.83 %,1188460,45 %,266.79M,,0001777835,,,
120,FSDC,"Gemini Therapeutics, Inc.",Health,$11.32,2.91 %,1177407,0 %,137.68M,,0001816736,2020-12-28,15.33,12.0
121,IPOD,,Tech,$13.30,-2.85 %,1175250,0 %,629.74M,,0001818876,,,
122,STIC,"Barkbox, Inc.",Consumer,$14.27,-1.99 %,1174881,66 %,370.33M,,0001819574,,,
123,FSRV,"Katapult Holdings, Inc.",Tech,$12.95,3.60 %,1167951,49 %,384.63M,,0001785424,,,
124,CCIV,,Seeking,$10.04,0.30 %,1160168,0 %,2.07B,,0001811210,,,
125,SRAC,Momentus Inc.,Tech,$17.29,-3.73 %,1089020,55 %,379.85M,Yes,0001781162,2020-12-14,2.97,26.0
126,MCAC,"Playboy Enterprises, Inc.",Consumer,$11.27,7.23 %,1048793,40 %,78.61M,,0001803914,,,
127,CGRO,Innoviz Technologies,Tech,$14.05,-1.68 %,1030963,64 %,280.51M,Yes,0001799611,,,
